refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),color_text,eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,35,0,2,0,2,1.0,34.0,0.0,0.2788755,1.0,0.021075711012829217
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,36,0,1,0,2,1.0,35.0,0.0,0.2781542,1.0,0.019089840169665778
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,37,0,2,0,2,1.0,36.0,0.0,0.3243539,1.0,0.0183489118882868
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,38,0,2,1,2,1.0,37.0,0.0,0.2966928,0.0,0.017636741035637882
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,39,0,2,1,2,1.0,38.0,0.0,0.324933,0.0,0.02236506684693147
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,40,0,1,1,2,1.0,39.0,1.0,0.3403567,1.0,0.01798930257846178
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,41,0,2,0,2,1.0,40.0,0.0,0.274735,1.0,0.024691651761314246
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,42,0,2,0,2,1.0,41.0,0.0,0.3424277,1.0,0.024207734900064604
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,43,0,2,1,2,1.0,42.0,1.0,0.2582419,1.0,0.02373330203489854
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,44,0,1,0,2,1.0,43.0,0.0,0.2973358,1.0,0.01729108913486021
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,45,0,2,0,2,1.0,44.0,0.0,0.3281342,1.0,0.022812148451009043
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,46,0,1,1,2,1.0,45.0,0.0,0.3277507,0.0,0.0166199752417109
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,47,0,2,1,2,1.0,46.0,1.0,0.2619382,1.0,0.02236506684693147
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,48,0,1,0,2,1.0,47.0,0.0,0.2933524,1.0,0.019089840169665778
120,1200,1920,49,.75,1.5,0.75,False,30,male,SAAY1407,fr,49,0,2,0,2,1.0,48.0,0.0,0.3476081,1.0,0.021497018167919782
